session,step,basis,gpu_present,samples,hours,gpu_busy_frac,gpu_util_mean,cpu50_frac,iowait10_frac,tx1_frac,rx1_frac,disk5_frac,nothing_frac,ambiguous_dropped,samples_parsed,span_hours,source_file,phase
of2017k,(between),interval,1.0000,215,0.2986,0.0000,0.0000,0.0000,,0.0000,0.0605,0.0140,0.9349,0,216,0.4483,hw_of2017k.csv,
of2017k,ALL,interval,1.0000,216,0.3000,0.0000,0.0000,0.0000,,0.0000,0.0602,0.0139,0.9352,0,216,0.4483,hw_of2017k.csv,
of2017k,tile,interval,1.0000,1,0.0014,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,1.0000,0,216,0.4483,hw_of2017k.csv,open
of2017k2,(between),interval,1.0000,225,0.3125,0.0000,0.0000,0.0000,,0.0444,0.1556,0.0267,0.8044,0,1200,2.0736,hw_of2017k2.csv,
of2017k2,ALL,interval,1.0000,1200,1.6667,0.1933,12.7967,0.1508,,0.1067,0.0817,0.1325,0.5083,0,1200,2.0736,hw_of2017k2.csv,
of2017k2,evaluate,interval,1.0000,7,0.0097,0.2857,10.7143,0.0000,,0.0000,0.0000,0.0000,0.7143,0,1200,2.0736,hw_of2017k2.csv,open
of2017k2,inference,interval,1.0000,203,0.2819,0.7586,52.4089,0.0000,,0.0099,0.0887,0.2512,0.0985,0,1200,2.0736,hw_of2017k2.csv,open
of2017k2,postproc,interval,1.0000,144,0.2000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,1.0000,0,1200,2.0736,hw_of2017k2.csv,open
of2017k2,tile,interval,1.0000,197,0.2736,0.0000,0.0000,0.0000,,0.0964,0.1066,0.1218,0.7563,0,1200,2.0736,hw_of2017k2.csv,open
of2017k2,train,interval,1.0000,424,0.5889,0.1792,10.9481,0.4269,,0.2288,0.0566,0.1840,0.2618,0,1200,2.0736,hw_of2017k2.csv,open
ofA,(between),interval,1.0000,190,0.2639,0.0000,0.0000,0.0000,,0.0000,0.1684,0.0158,0.8263,737,3730,5.9519,hw_ofA.csv,
ofA,ALL,interval,1.0000,2993,4.1569,0.2449,17.6612,0.1026,,0.0558,0.1106,0.2429,0.5085,737,3730,5.9519,hw_ofA.csv,
ofA,inference,interval,1.0000,1010,1.4028,0.6069,44.9495,0.0000,,0.0129,0.1119,0.5228,0.2465,737,3730,5.9519,hw_ofA.csv,open
ofA,postproc,interval,1.0000,716,0.9944,0.0000,0.0000,0.0000,,0.0042,0.0503,0.0014,0.9455,737,3730,5.9519,hw_ofA.csv,open
ofA,tile,interval,1.0000,469,0.6514,0.0000,0.0000,0.0000,,0.0768,0.2026,0.2068,0.6567,737,3730,5.9519,hw_ofA.csv,open
ofA,train,interval,1.0000,608,0.8444,0.1974,12.2714,0.5049,,0.1891,0.0905,0.1612,0.2155,737,3730,5.9519,hw_ofA.csv,open
ofB,(between),interval,1.0000,331,0.4597,0.0000,0.0000,0.0000,,0.0363,0.1208,0.0242,0.8308,752,4704,7.4531,hw_ofB.csv,
ofB,ALL,interval,1.0000,3952,5.4889,0.2201,15.6055,0.0929,,0.0385,0.0994,0.1642,0.5640,752,4704,7.4531,hw_ofB.csv,
ofB,inference,interval,1.0000,1058,1.4694,0.7013,51.3970,0.0000,,0.0000,0.1078,0.4253,0.1408,752,4704,7.4531,hw_ofB.csv,open
ofB,postproc,interval,1.0000,1419,1.9708,0.0007,0.0113,0.0000,,0.0211,0.0099,0.0021,0.9767,752,4704,7.4531,hw_ofB.csv,open
ofB,tile,interval,1.0000,521,0.7236,0.0000,0.0000,0.0000,,0.0403,0.3167,0.1651,0.6104,752,4704,7.4531,hw_ofB.csv,open
ofB,train,interval,1.0000,623,0.8653,0.2039,11.6838,0.5891,,0.1429,0.0963,0.1637,0.1621,752,4704,7.4531,hw_ofB.csv,open
recut1,(between),interval,0.0000,139,0.1931,,,0.0288,,0.0000,0.0072,0.0144,0.5755,0,240,0.3922,hw_recut1.csv,
recut1,ALL,interval,0.0000,240,0.3333,,,0.2750,,0.0000,0.1000,0.0083,0.4083,0,240,0.3922,hw_recut1.csv,
recut1,postproc,interval,0.0000,101,0.1403,,,0.6139,,0.0000,0.2277,0.0000,0.1782,0,240,0.3922,hw_recut1.csv,open
recut2,(between),interval,0.0000,155,0.2153,,,0.0258,,0.0968,0.0065,0.0387,0.5355,0,2352,3.7811,hw_recut2.csv,
recut2,ALL,interval,0.0000,2352,3.2667,,,0.8014,,0.0094,0.1207,0.0060,0.0842,0,2352,3.7811,hw_recut2.csv,
recut2,postproc,interval,0.0000,2197,3.0514,,,0.8562,,0.0032,0.1288,0.0036,0.0523,0,2352,3.7811,hw_recut2.csv,open
spdc1,(between),marker,0.0000,240,0.3333,,,0.0000,0.8833,0.0000,0.1417,0.0083,0.4792,0,492,0.8317,hw_spdc1.csv,
spdc1,ALL,marker,0.0000,492,0.6833,,,0.1565,0.5874,0.0386,0.1341,0.2033,0.3902,0,492,0.8317,hw_spdc1.csv,
spdc1,tile,marker,0.0000,252,0.3500,,,0.3056,0.3056,0.0754,0.1270,0.3889,0.3056,0,492,0.8317,hw_spdc1.csv,open
spdc2,(between),marker,0.0000,58,0.0806,,,0.0172,0.7931,0.0172,0.0000,0.0517,0.5345,0,324,0.5356,hw_spdc2.csv,
spdc2,ALL,marker,0.0000,324,0.4500,,,0.7377,0.2191,0.0031,0.0309,0.0525,0.1327,0,324,0.5356,hw_spdc2.csv,
spdc2,postproc,marker,0.0000,266,0.3694,,,0.8947,0.0940,0.0000,0.0376,0.0526,0.0451,0,324,0.5356,hw_spdc2.csv,open
spdg,(between),marker,1.0000,112,0.1556,0.0000,0.0000,0.0000,0.0000,0.0982,0.0804,0.0446,0.8482,0,689,1.2519,hw_spdg.csv,
spdg,ALL,marker,1.0000,689,0.9569,0.3222,22.3222,0.2627,0.0131,0.0813,0.0566,0.1669,0.3237,0,689,1.2519,hw_spdg.csv,
spdg,evaluate,marker,1.0000,13,0.0181,0.0769,2.7692,0.0000,0.0000,0.0000,0.0000,0.0000,0.9231,0,689,1.2519,hw_spdg.csv,open
