model,device,leg,n_chunks,dims,recall@5,recall@20,mrr,n_queries,chunks_per_s,index_mb,batch_size,max_seq_length
bge-m3,cpu,vector,9496,1024,0.3833,0.6167,0.2348,60,0.331,38.9,8,1024
bge-m3,cpu,vector/paraphrase,9496,1024,0.4667,0.7333,0.3009,30,,,8,1024
bge-m3,cpu,vector/conceptual,9496,1024,0.2,0.4,0.079,15,,,8,1024
bge-m3,cpu,vector/structural,9496,1024,0.4,0.6,0.2584,15,,,8,1024
bge-m3,cpu,lexical,9496,1024,0.3167,0.5667,0.2771,60,0.331,38.9,8,1024
bge-m3,cpu,lexical/paraphrase,9496,1024,0.5,0.6,0.4055,30,,,8,1024
bge-m3,cpu,lexical/conceptual,9496,1024,0.0667,0.6,0.0948,15,,,8,1024
bge-m3,cpu,lexical/structural,9496,1024,0.2,0.4667,0.2026,15,,,8,1024
bge-m3,cpu,hybrid,9496,1024,0.3833,0.7333,0.2251,60,0.331,38.9,8,1024
bge-m3,cpu,hybrid/paraphrase,9496,1024,0.4667,0.8333,0.2377,30,,,8,1024
bge-m3,cpu,hybrid/conceptual,9496,1024,0.3333,0.6,0.2695,15,,,8,1024
bge-m3,cpu,hybrid/structural,9496,1024,0.2667,0.6667,0.1554,15,,,8,1024
bge-m3,cpu,vector_random_KILL,9496,1024,0.0,0.0,0.0007,60,0.331,38.9,8,1024
bge-m3,cpu,vector_random_KILL/paraphrase,9496,1024,0.0,0.0,0.0,30,,,8,1024
bge-m3,cpu,vector_random_KILL/conceptual,9496,1024,0.0,0.0,0.0028,15,,,8,1024
bge-m3,cpu,vector_random_KILL/structural,9496,1024,0.0,0.0,0.0,15,,,8,1024
nomic-v1.5,cpu,vector,9496,768,0.3333,0.5667,0.1902,60,1.038,29.17,8,1024
nomic-v1.5,cpu,vector/paraphrase,9496,768,0.4,0.6333,0.226,30,,,8,1024
nomic-v1.5,cpu,vector/conceptual,9496,768,0.2667,0.4,0.1394,15,,,8,1024
nomic-v1.5,cpu,vector/structural,9496,768,0.2667,0.6,0.1692,15,,,8,1024
nomic-v1.5,cpu,lexical,9496,768,0.3167,0.5667,0.2771,60,1.038,29.17,8,1024
nomic-v1.5,cpu,lexical/paraphrase,9496,768,0.5,0.6,0.4055,30,,,8,1024
nomic-v1.5,cpu,lexical/conceptual,9496,768,0.0667,0.6,0.0948,15,,,8,1024
nomic-v1.5,cpu,lexical/structural,9496,768,0.2,0.4667,0.2026,15,,,8,1024
nomic-v1.5,cpu,hybrid,9496,768,0.3667,0.6333,0.2086,60,1.038,29.17,8,1024
nomic-v1.5,cpu,hybrid/paraphrase,9496,768,0.4,0.7667,0.1987,30,,,8,1024
nomic-v1.5,cpu,hybrid/conceptual,9496,768,0.3333,0.4667,0.2835,15,,,8,1024
nomic-v1.5,cpu,hybrid/structural,9496,768,0.3333,0.5333,0.1534,15,,,8,1024
nomic-v1.5,cpu,vector_random_KILL,9496,768,0.0,0.0,0.0,60,1.038,29.17,8,1024
nomic-v1.5,cpu,vector_random_KILL/paraphrase,9496,768,0.0,0.0,0.0,30,,,8,1024
nomic-v1.5,cpu,vector_random_KILL/conceptual,9496,768,0.0,0.0,0.0,15,,,8,1024
nomic-v1.5,cpu,vector_random_KILL/structural,9496,768,0.0,0.0,0.0,15,,,8,1024
nomic-v1.5,cuda,vector,9496,768,0.3333,0.5667,0.1902,60,6.445,29.17,8,1024
nomic-v1.5,cuda,vector/paraphrase,9496,768,0.4,0.6333,0.226,30,,,8,1024
nomic-v1.5,cuda,vector/conceptual,9496,768,0.2667,0.4,0.1394,15,,,8,1024
nomic-v1.5,cuda,vector/structural,9496,768,0.2667,0.6,0.1692,15,,,8,1024
nomic-v1.5,cuda,lexical,9496,768,0.3167,0.5667,0.2771,60,6.445,29.17,8,1024
nomic-v1.5,cuda,lexical/paraphrase,9496,768,0.5,0.6,0.4055,30,,,8,1024
nomic-v1.5,cuda,lexical/conceptual,9496,768,0.0667,0.6,0.0948,15,,,8,1024
nomic-v1.5,cuda,lexical/structural,9496,768,0.2,0.4667,0.2026,15,,,8,1024
nomic-v1.5,cuda,hybrid,9496,768,0.3667,0.6333,0.2086,60,6.445,29.17,8,1024
nomic-v1.5,cuda,hybrid/paraphrase,9496,768,0.4,0.7667,0.1987,30,,,8,1024
nomic-v1.5,cuda,hybrid/conceptual,9496,768,0.3333,0.4667,0.2835,15,,,8,1024
nomic-v1.5,cuda,hybrid/structural,9496,768,0.3333,0.5333,0.1534,15,,,8,1024
nomic-v1.5,cuda,vector_random_KILL,9496,768,0.0,0.0,0.0,60,6.445,29.17,8,1024
nomic-v1.5,cuda,vector_random_KILL/paraphrase,9496,768,0.0,0.0,0.0,30,,,8,1024
nomic-v1.5,cuda,vector_random_KILL/conceptual,9496,768,0.0,0.0,0.0,15,,,8,1024
nomic-v1.5,cuda,vector_random_KILL/structural,9496,768,0.0,0.0,0.0,15,,,8,1024
bge-m3,cuda,vector,9496,1024,0.3833,0.6167,0.2348,60,0.93,38.9,8,1024
bge-m3,cuda,vector/paraphrase,9496,1024,0.4667,0.7333,0.3009,30,,,8,1024
bge-m3,cuda,vector/conceptual,9496,1024,0.2,0.4,0.079,15,,,8,1024
bge-m3,cuda,vector/structural,9496,1024,0.4,0.6,0.2584,15,,,8,1024
bge-m3,cuda,lexical,9496,1024,0.3167,0.5667,0.2771,60,0.93,38.9,8,1024
bge-m3,cuda,lexical/paraphrase,9496,1024,0.5,0.6,0.4055,30,,,8,1024
bge-m3,cuda,lexical/conceptual,9496,1024,0.0667,0.6,0.0948,15,,,8,1024
bge-m3,cuda,lexical/structural,9496,1024,0.2,0.4667,0.2026,15,,,8,1024
bge-m3,cuda,hybrid,9496,1024,0.3833,0.7333,0.2251,60,0.93,38.9,8,1024
bge-m3,cuda,hybrid/paraphrase,9496,1024,0.4667,0.8333,0.2377,30,,,8,1024
bge-m3,cuda,hybrid/conceptual,9496,1024,0.3333,0.6,0.2695,15,,,8,1024
bge-m3,cuda,hybrid/structural,9496,1024,0.2667,0.6667,0.1554,15,,,8,1024
bge-m3,cuda,vector_random_KILL,9496,1024,0.0,0.0,0.0007,60,0.93,38.9,8,1024
bge-m3,cuda,vector_random_KILL/paraphrase,9496,1024,0.0,0.0,0.0,30,,,8,1024
bge-m3,cuda,vector_random_KILL/conceptual,9496,1024,0.0,0.0,0.0028,15,,,8,1024
bge-m3,cuda,vector_random_KILL/structural,9496,1024,0.0,0.0,0.0,15,,,8,1024
